id;provincia;ingreso;zona;obra_social;edad;jubilado;bancarizado;negativo;casado;hijos;sexo;auto
1;CORDOBA;10M-20M;INTERIOR;otros;40;NO;NO;NO;NO;NO;M;SI
2;BUENOS_AIRES;0M-10M;ZONA_SUR;406;46;NO;SI;NO;NO;NO;F;SI
3;TUCUMAN;10M-20M;INTERIOR;126205;31;NO;SI;NO;NO;NO;M;SI
4;BUENOS_AIRES;10M-20M;ZONA_NORTE;otros;45;NO;SI;NO;NO;SI;F;SI
5;CORDOBA;20M-30M;INTERIOR;otros;59;NO;SI;NO;NO;NO;M;NO
6;ENTRE_RIOS;0M-10M;INTERIOR;106302;62;NO;NO;NO;NO;NO;M;NO
7;BUENOS_AIRES;0M-10M;ZONA_SUR;113809;26;NO;NO;NO;NO;NO;M;SI
8;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;406;52;NO;NO;NO;NO;NO;M;SI
9;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;52;NO;NO;NO;NO;NO;M;SI
10;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;400800;48;NO;SI;NO;NO;NO;M;SI
11;MENDOZA;20M-30M;INTERIOR;406;54;NO;SI;SI;NO;SI;M;SI
12;BUENOS_AIRES;50M+;ZONA_NORTE;400800;32;NO;SI;NO;NO;NO;M;SI
13;BUENOS_AIRES;20M-30M;ZONA_NORTE;otros;54;NO;SI;NO;NO;NO;F;NO
14;SANTA_FE;10M-20M;INTERIOR;otros;37;NO;NO;NO;NO;NO;F;SI
15;BUENOS_AIRES;50M+;ZONA_NORTE;406;48;NO;SI;NO;SI;SI;M;SI
16;BUENOS_AIRES;10M-20M;ZONA_SUR;126205;39;NO;SI;NO;NO;NO;M;SI
17;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;41;NO;NO;NO;NO;NO;F;SI
18;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;406;47;NO;SI;NO;NO;NO;M;NO
19;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400909;28;NO;NO;NO;NO;NO;M;SI
20;SANTIAGO_DEL_ESTERO;20M-30M;INTERIOR;otros;56;NO;SI;NO;NO;SI;M;NO
21;BUENOS_AIRES;0M-10M;ZONA_SUR;otros;45;NO;NO;SI;NO;NO;M;NO
22;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;39;NO;SI;NO;SI;SI;M;NO
23;BUENOS_AIRES;30M-50M;ZONA_OESTE;otros;40;NO;SI;NO;NO;NO;M;SI
24;BUENOS_AIRES;50M+;ZONA_SUR;113809;37;NO;NO;NO;NO;NO;M;SI
25;BUENOS_AIRES;50M+;INTERIOR;otros;49;NO;SI;NO;SI;SI;M;SI
26;BUENOS_AIRES;50M+;INTERIOR;otros;56;NO;SI;NO;SI;SI;M;SI
27;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;42;NO;NO;NO;SI;SI;M;SI
28;SANTA_FE;10M-20M;INTERIOR;otros;34;NO;NO;NO;NO;NO;F;SI
29;SANTA_FE;20M-30M;INTERIOR;otros;37;NO;SI;NO;NO;NO;F;NO
30;BUENOS_AIRES;20M-30M;INTERIOR;otros;29;NO;NO;SI;NO;NO;M;NO
31;SANTA_FE;10M-20M;INTERIOR;otros;44;NO;NO;NO;NO;NO;M;SI
32;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;126205;41;NO;NO;NO;NO;NO;M;SI
33;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;30;NO;SI;NO;NO;NO;M;SI
34;BUENOS_AIRES;30M-50M;ZONA_SUR;113809;41;NO;SI;NO;NO;NO;F;SI
35;BUENOS_AIRES;0M-10M;INTERIOR;126205;42;NO;NO;NO;NO;NO;F;SI
36;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;63;NO;NO;NO;NO;NO;F;NO
37;SANTA_FE;10M-20M;INTERIOR;400909;54;NO;SI;NO;NO;NO;F;SI
38;SANTA_FE;10M-20M;INTERIOR;otros;38;NO;NO;SI;NO;NO;F;NO
39;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;49;NO;SI;NO;NO;NO;F;SI
40;BUENOS_AIRES;10M-20M;INTERIOR;otros;38;NO;SI;NO;NO;NO;F;NO
41;SANTA_FE;0M-10M;INTERIOR;otros;55;NO;NO;SI;SI;NO;M;SI
42;CORDOBA;0M-10M;INTERIOR;otros;68;SI;NO;NO;NO;NO;M;SI
43;CORDOBA;50M+;INTERIOR;400909;48;NO;SI;NO;NO;SI;M;SI
44;SALTA;10M-20M;INTERIOR;otros;52;NO;SI;NO;SI;SI;F;SI
45;CHUBUT;50M+;INTERIOR;otros;41;NO;SI;NO;NO;SI;M;SI
46;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;otros;64;NO;SI;SI;SI;SI;F;SI
47;BUENOS_AIRES;0M-10M;INTERIOR;126205;38;NO;NO;SI;NO;NO;M;SI
48;BUENOS_AIRES;0M-10M;ZONA_NORTE;otros;32;NO;NO;SI;NO;NO;M;SI
49;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;400800;42;NO;NO;NO;NO;NO;M;NO
50;BUENOS_AIRES;10M-20M;INTERIOR;126205;40;NO;SI;NO;NO;NO;F;SI
51;BUENOS_AIRES;30M-50M;INTERIOR;otros;42;NO;SI;SI;NO;NO;M;NO
52;ENTRE_RIOS;0M-10M;INTERIOR;otros;62;NO;SI;NO;NO;NO;M;NO
53;CORDOBA;30M-50M;INTERIOR;otros;60;NO;SI;NO;SI;NO;F;SI
54;BUENOS_AIRES;10M-20M;ZONA_SUR;126205;34;NO;SI;NO;NO;NO;M;SI
55;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;43;NO;SI;NO;NO;NO;M;SI
56;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;43;NO;SI;NO;NO;NO;F;NO
57;SALTA;10M-20M;INTERIOR;otros;46;NO;SI;NO;NO;NO;F;NO
58;BUENOS_AIRES;10M-20M;INTERIOR;otros;43;NO;NO;SI;NO;SI;M;NO
59;BUENOS_AIRES;10M-20M;INTERIOR;otros;30;NO;SI;SI;NO;NO;F;NO
60;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400800;37;NO;SI;NO;NO;NO;F;SI
61;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;40;NO;NO;NO;NO;NO;F;SI
62;BUENOS_AIRES;10M-20M;INTERIOR;otros;56;NO;NO;NO;NO;NO;M;SI
63;BUENOS_AIRES;10M-20M;INTERIOR;400909;51;NO;NO;NO;NO;NO;F;SI
64;SANTA_FE;10M-20M;INTERIOR;otros;51;NO;SI;NO;NO;NO;M;NO
65;JUJUY;0M-10M;INTERIOR;otros;37;NO;NO;NO;NO;NO;M;SI
66;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;64;NO;SI;NO;NO;NO;M;SI
67;CORDOBA;0M-10M;INTERIOR;otros;54;NO;SI;NO;NO;SI;F;NO
68;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;126205;57;NO;NO;NO;NO;NO;F;SI
69;ENTRE_RIOS;0M-10M;INTERIOR;500807;60;SI;SI;NO;SI;NO;M;SI
70;BUENOS_AIRES;0M-10M;INTERIOR;106302;31;NO;NO;NO;NO;NO;F;NO
71;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;42;NO;NO;NO;NO;SI;M;SI
72;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;54;NO;SI;NO;SI;SI;M;SI
73;CORDOBA;30M-50M;INTERIOR;otros;38;NO;SI;NO;NO;NO;M;SI
74;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;43;NO;SI;NO;NO;NO;M;SI
75;BUENOS_AIRES;10M-20M;ZONA_NORTE;500807;68;SI;NO;NO;NO;NO;F;NO
76;BUENOS_AIRES;20M-30M;ZONA_NORTE;otros;33;NO;NO;NO;NO;NO;M;SI
77;MENDOZA;10M-20M;INTERIOR;126205;43;NO;SI;NO;NO;NO;M;SI
78;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;53;NO;NO;NO;NO;NO;M;SI
79;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;60;NO;SI;NO;NO;NO;M;NO
80;BUENOS_AIRES;30M-50M;INTERIOR;otros;25;NO;SI;NO;NO;NO;M;SI
81;CHUBUT;50M+;INTERIOR;400800;58;NO;NO;NO;SI;NO;M;SI
82;BUENOS_AIRES;0M-10M;ZONA_SUR;113809;35;NO;NO;SI;NO;NO;F;NO
83;BUENOS_AIRES;0M-10M;ZONA_NORTE;126205;59;NO;SI;NO;NO;NO;F;NO
84;SANTA_FE;0M-10M;INTERIOR;otros;64;NO;SI;NO;NO;NO;M;SI
85;CORDOBA;20M-30M;INTERIOR;otros;48;NO;SI;NO;NO;NO;F;SI
86;BUENOS_AIRES;30M-50M;ZONA_SUR;126205;49;NO;SI;SI;NO;SI;M;NO
87;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;42;NO;SI;NO;NO;NO;F;NO
88;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;40;NO;NO;NO;SI;SI;M;SI
89;SANTA_FE;10M-20M;INTERIOR;otros;65;NO;NO;SI;SI;SI;M;NO
90;BUENOS_AIRES;10M-20M;ZONA_NORTE;113809;31;NO;SI;NO;NO;NO;F;NO
91;JUJUY;0M-10M;INTERIOR;otros;30;NO;SI;NO;NO;NO;M;SI
92;BUENOS_AIRES;10M-20M;ZONA_SUR;406;43;NO;NO;NO;NO;NO;F;SI
93;BUENOS_AIRES;30M-50M;INTERIOR;113809;35;NO;SI;NO;NO;NO;M;SI
94;SANTA_FE;10M-20M;INTERIOR;otros;46;NO;NO;NO;SI;SI;M;SI
95;BUENOS_AIRES;20M-30M;INTERIOR;otros;61;NO;SI;NO;NO;NO;M;SI
96;BUENOS_AIRES;10M-20M;INTERIOR;126205;36;NO;NO;NO;NO;NO;M;NO
97;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;otros;30;NO;NO;NO;NO;NO;F;SI
98;JUJUY;10M-20M;INTERIOR;otros;56;NO;SI;NO;NO;NO;F;SI
99;MENDOZA;50M+;INTERIOR;400800;35;NO;SI;NO;SI;SI;M;SI
100;BUENOS_AIRES;0M-10M;ZONA_OESTE;otros;35;NO;NO;NO;NO;NO;F;NO
101;SANTA_FE;10M-20M;INTERIOR;otros;45;NO;SI;NO;SI;NO;M;NO
102;BUENOS_AIRES;20M-30M;ZONA_NORTE;otros;51;NO;SI;NO;NO;NO;M;SI
103;TUCUMAN;20M-30M;INTERIOR;otros;36;NO;NO;SI;NO;NO;M;NO
104;SANTA_FE;10M-20M;INTERIOR;otros;36;NO;SI;NO;NO;NO;M;SI
105;CORDOBA;10M-20M;INTERIOR;otros;54;NO;NO;NO;NO;NO;F;NO
106;BUENOS_AIRES;20M-30M;INTERIOR;otros;45;NO;SI;NO;NO;SI;F;SI
107;JUJUY;10M-20M;INTERIOR;otros;54;NO;SI;NO;NO;NO;M;SI
108;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;37;NO;NO;NO;NO;NO;M;NO
109;CAPITAL_FEDERAL;20M-30M;CAPITAL_FEDERAL;113809;42;NO;SI;NO;NO;NO;F;SI
110;MENDOZA;20M-30M;INTERIOR;otros;49;NO;SI;NO;SI;SI;M;SI
111;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;44;NO;NO;NO;NO;NO;F;NO
112;BUENOS_AIRES;10M-20M;ZONA_OESTE;406;36;NO;NO;NO;NO;NO;M;NO
113;BUENOS_AIRES;20M-30M;INTERIOR;500807;69;SI;NO;NO;NO;NO;F;SI
114;BUENOS_AIRES;0M-10M;ZONA_OESTE;otros;19;NO;NO;NO;NO;NO;M;NO
115;BUENOS_AIRES;0M-10M;INTERIOR;106302;42;NO;SI;NO;NO;NO;M;SI
116;BUENOS_AIRES;30M-50M;ZONA_NORTE;otros;32;NO;SI;NO;NO;NO;M;SI
117;BUENOS_AIRES;0M-10M;ZONA_NORTE;126205;32;NO;NO;NO;NO;NO;M;SI
118;SANTA_FE;10M-20M;INTERIOR;otros;51;NO;SI;NO;SI;SI;M;SI
119;CORDOBA;10M-20M;INTERIOR;400909;25;NO;NO;NO;NO;NO;F;NO
120;BUENOS_AIRES;30M-50M;ZONA_SUR;otros;31;NO;NO;NO;NO;NO;M;SI
121;CHUBUT;30M-50M;INTERIOR;otros;39;NO;SI;NO;NO;NO;F;SI
122;CAPITAL_FEDERAL;10M-20M;CAPITAL_FEDERAL;otros;47;NO;NO;NO;NO;SI;M;NO
123;MISIONES;20M-30M;INTERIOR;otros;49;NO;SI;NO;SI;SI;M;NO
124;BUENOS_AIRES;0M-10M;ZONA_SUR;otros;34;NO;SI;NO;NO;SI;M;NO
125;BUENOS_AIRES;30M-50M;INTERIOR;otros;48;NO;SI;NO;SI;SI;M;SI
126;SANTA_FE;20M-30M;INTERIOR;otros;29;NO;SI;NO;NO;NO;F;SI
127;BUENOS_AIRES;20M-30M;ZONA_SUR;500807;80;SI;NO;NO;NO;NO;F;SI
128;JUJUY;0M-10M;INTERIOR;otros;49;NO;SI;NO;NO;NO;F;NO
129;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;57;NO;SI;NO;NO;SI;M;SI
130;BUENOS_AIRES;0M-10M;INTERIOR;126205;47;NO;SI;NO;NO;SI;F;SI
131;BUENOS_AIRES;10M-20M;ZONA_OESTE;otros;55;NO;SI;SI;NO;NO;F;SI
132;FORMOSA;20M-30M;INTERIOR;400909;37;NO;SI;NO;NO;NO;F;NO
133;BUENOS_AIRES;20M-30M;ZONA_SUR;400800;52;NO;SI;NO;NO;NO;M;SI
134;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;30;NO;SI;NO;NO;NO;F;SI
135;BUENOS_AIRES;20M-30M;ZONA_SUR;400909;36;NO;NO;NO;NO;NO;F;NO
136;CORRIENTES;20M-30M;INTERIOR;500807;84;SI;NO;NO;NO;NO;M;SI
137;BUENOS_AIRES;20M-30M;ZONA_SUR;126205;44;NO;NO;NO;NO;SI;M;SI
138;TUCUMAN;10M-20M;INTERIOR;otros;42;NO;SI;NO;NO;NO;M;SI
139;CORDOBA;0M-10M;INTERIOR;otros;48;NO;SI;NO;NO;SI;F;NO
140;SALTA;50M+;INTERIOR;400800;40;NO;SI;NO;NO;NO;M;SI
141;BUENOS_AIRES;20M-30M;INTERIOR;126205;62;NO;NO;NO;SI;NO;M;NO
142;BUENOS_AIRES;30M-50M;ZONA_OESTE;400909;61;NO;SI;NO;SI;NO;M;SI
143;BUENOS_AIRES;20M-30M;INTERIOR;otros;33;NO;NO;NO;NO;NO;M;SI
144;BUENOS_AIRES;20M-30M;ZONA_OESTE;otros;45;NO;SI;NO;NO;NO;M;NO
145;SANTA_FE;10M-20M;INTERIOR;otros;76;NO;NO;NO;NO;NO;F;SI
146;BUENOS_AIRES;30M-50M;INTERIOR;otros;58;NO;SI;SI;SI;NO;F;NO
147;BUENOS_AIRES;30M-50M;ZONA_NORTE;400909;45;NO;SI;NO;NO;NO;F;NO
148;CHACO;50M+;INTERIOR;406;49;NO;SI;NO;NO;SI;F;SI
149;BUENOS_AIRES;20M-30M;ZONA_NORTE;126205;41;NO;SI;NO;NO;SI;M;SI
150;BUENOS_AIRES;0M-10M;ZONA_NORTE;otros;45;NO;NO;SI;NO;NO;M;NO
151;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;otros;46;NO;SI;NO;NO;SI;M;SI
152;CORDOBA;0M-10M;INTERIOR;otros;49;NO;SI;NO;NO;NO;F;NO
153;BUENOS_AIRES;0M-10M;ZONA_NORTE;500807;74;SI;NO;NO;NO;NO;F;NO
154;CAPITAL_FEDERAL;0M-10M;CAPITAL_FEDERAL;406;43;NO;SI;NO;NO;NO;M;SI
155;SALTA;20M-30M;INTERIOR;otros;60;NO;SI;NO;SI;SI;M;NO
156;MENDOZA;10M-20M;INTERIOR;otros;54;NO;SI;NO;NO;NO;M;SI
157;BUENOS_AIRES;20M-30M;ZONA_SUR;otros;59;NO;SI;NO;SI;NO;M;SI
158;BUENOS_AIRES;20M-30M;INTERIOR;otros;39;NO;NO;SI;SI;NO;M;SI
159;BUENOS_AIRES;10M-20M;INTERIOR;126205;79;SI;NO;NO;NO;NO;F;SI
160;BUENOS_AIRES;10M-20M;INTERIOR;otros;67;NO;NO;NO;NO;NO;F;SI
161;CHUBUT;50M+;INTERIOR;otros;39;NO;SI;NO;NO;NO;M;SI
162;BUENOS_AIRES;10M-20M;INTERIOR;otros;33;NO;NO;NO;NO;SI;M;SI
163;CHUBUT;10M-20M;INTERIOR;otros;33;NO;NO;NO;NO;NO;F;NO
164;BUENOS_AIRES;10M-20M;ZONA_NORTE;otros;68;SI;SI;NO;NO;NO;M;SI
165;BUENOS_AIRES;10M-20M;ZONA_SUR;otros;48;NO;SI;NO;NO;NO;F;NO
166;TUCUMAN;20M-30M;INTERIOR;otros;62;NO;SI;NO;NO;SI;M;NO
167;CAPITAL_FEDERAL;50M+;CAPITAL_FEDERAL;otros;56;NO;SI;NO;NO;NO;F;SI
168;BUENOS_AIRES;10M-20M;ZONA_SUR;406;29;NO;SI;NO;NO;NO;M;SI
169;SANTA_FE;30M-50M;INTERIOR;otros;39;NO;NO;NO;NO;NO;M;SI
170;CORDOBA;50M+;INTERIOR;106302;45;NO;SI;NO;NO;NO;F;SI
171;SANTA_FE;20M-30M;INTERIOR;otros;36;NO;NO;NO;NO;NO;M;SI
172;CAPITAL_FEDERAL;30M-50M;CAPITAL_FEDERAL;400909;51;NO;SI;SI;NO;NO;F;NO
173;CORDOBA;20M-30M;INTERIOR;106302;60;NO;SI;NO;NO;NO;F;NO
